repo	stub	latest_pr_check
nightowlstudiollc/.github	has-stub	success
nightowlstudiollc/amelia-boone	has-stub	success
nightowlstudiollc/cleanroom	has-stub	success
nightowlstudiollc/financial-agent	has-stub	success
nightowlstudiollc/kebab-tax	has-stub	failure
nightowlstudiollc/kebab-tax-netlify	has-stub	success
nightowlstudiollc/networth-agent	NO-STUB	no-such-check
nightowlstudiollc/night-owl-studio	has-stub	success
nightowlstudiollc/reliquarist	has-stub	success
nightowlstudiollc/tensegrity	has-stub	success
nightowlstudiollc/tnjcleaning	has-stub	success
nightowlstudiollc/vpn-lan-bridge	has-stub	no-such-check
smartwatermelon/.github	has-stub	success
smartwatermelon/archive-resolver	has-stub	success
smartwatermelon/claude-code-workflows-agents	has-stub	success
smartwatermelon/claude-config-backup	has-stub	NO-PRS
smartwatermelon/claude-wrapper	has-stub	success
smartwatermelon/crazy-larry	has-stub	no-such-check
smartwatermelon/dev-env	has-stub	success
smartwatermelon/dumbify	has-stub	success
smartwatermelon/github-workflows	has-stub	success
smartwatermelon/gmail-newsletter-filter	has-stub	success
smartwatermelon/homebrew-tap	has-stub	no-such-check
smartwatermelon/lock-sync	has-stub	success
smartwatermelon/mac-dev-server-setup	has-stub	success
smartwatermelon/mac-server-setup	has-stub	success
smartwatermelon/pr-review	has-stub	success
smartwatermelon/qwen-sidebar	has-stub	success
smartwatermelon/repo-template	has-stub	success
smartwatermelon/scripts	has-stub	success
smartwatermelon/slack-mcp	has-stub	success
smartwatermelon/smartwatermelon-marketplace	has-stub	success
smartwatermelon/spokane-snow	has-stub	success
smartwatermelon/superpowers	has-stub	success
smartwatermelon/superpowers-marketplace	has-stub	no-such-check
smartwatermelon/swift-progress-indicator	has-stub	success
smartwatermelon/x-thread-reader	has-stub	no-such-check
twistedmelonman/claude-config	has-stub	success
twistedmelonman/dotfiles	has-stub	success
twistedmelonman/homebrew-brew	NO-STUB	NO-PRS
twistedmelonman/huddle-transcribe	has-stub	success
twistedmelonman/Instapaper-MCP	NO-STUB	no-such-check
twistedmelonman/personify	has-stub	success
twistedmelonman/projectinsomnia	has-stub	success
