repo	number	title	theme	bucket	priority	effort	human_gate	depends_on	evidence
twistedmelonman/claude-config	351	Revisit worktree restrictions after ~4 weeks — consider lifting entirely (review on/after 2026-09-16)	worktree-policy	LAND	P3	S	Andrew picks option 1/2/3 (lift, keep, tighten)	none	Review date 2026-09-16 passed; hook-block-git-worktree.sh still in hook-block-all.sh chain (scripts/hook-block-all.sh:29); needs blocked-commands.log grep + decision
twistedmelonman/claude-config	354	Make the reviewer engine pluggable — support non-Anthropic models (Qwen, Llama) for cost and genuine independence	review-roadmap	PARK	P3	L	Andrew: approve eval spend on candidate models	none	Proposal only; run-review.sh still hard-wired to CLAUDE_CLI --agent; resume at "Suggested first step" (manual eval of 2-3 models)
twistedmelonman/claude-config	439	install.sh cannot detect orphaned symlinks, and --repair reports "healthy" while safety guards are disabled	install-deploy	LAND	P1	S	none	none	Items 1-2 done by #581 (b367bb1 prune_stale_symlinks); still open: install.sh:268 prints "All symlinks healthy" before prune, --repair never recreates a MISSING link, and hook-block-all.sh:30 `[[ -x ]]` still skips absent guards silently (item 4)
twistedmelonman/claude-config	441	Build the weekly sweep and /audit triggers for --mode=codebase	review-roadmap	PARK	P2	L	Andrew: accept owner's own comment "do not build sweep yet"; decide whether /audit alone ships	none	Owner comment 2: 1.8 findings/clean file (~330/run) so sweep blocked on a filing policy; /audit (per-repo, human-invoked) could ship independently; codebase mode still diff-seeded
twistedmelonman/claude-config	451	Chunked review silently skips the only files that matter, and reports PASS	review-false-ok	LAND	P1	S	none	none	Still live: run-review.sh:1652 skips files > chunkSize, :1838 "Chunked review passed" when reviewed>0; only 0/N case blocks (:1825, #200). Split-off post-push-status.sh alias bug went to smartwatermelon/claude-config#456
twistedmelonman/claude-config	453	install.sh symlinks ~/.claude to the working tree, so editing a hook breaks review for every concurrent session	install-deploy	PARK	P2	M	Andrew: choose deploy model (worktree pinned to main vs copy-from-HEAD)	none	Still true: install.sh:223/:261 `ln -s` into working tree; STATUS.md lists as L2 "deploy/edit separation"; resume with option 4 (dirty-file refusal + SCRIPT_SHA stamp) as cheap first step
twistedmelonman/claude-config	455	Code reviewer blocks documented Netlify `%{submissionId}` token as "undocumented"; non-deterministic across repos, and rejects direct documentation evidence	reviewer-reliability	LAND	P0	M	none	none	STATUS.md "Unowned: local-reviewer reliability" + dev-env#124; codebase-mode prompt already has Kind-B "question form, VERIFIED:" discipline (run-review.sh:2295-2316) but commit-mode does not; only version-pin claims are downgraded (:1119). Keeper for #555
twistedmelonman/claude-config	458	Non-blocking review findings from PR #457 (2)	budget-guard	PARK	P3	S	none	none	Both items are tracking notes (retune thresholds after real sessions; build handoff §3/§5); #476 already retuned session count; no end-state dependency
twistedmelonman/claude-config	465	Verify behavior claims in user-facing drafts BEFORE handing them over, not after a reviewer pushes back	claude-md-instructions	PARK?	P2	S	Andrew: whether to add a rule or fold into #518 rewrite	#518	PRIME DIRECTIVE (#492, cbf8d01) now covers the principle; no drafted-prose rule in CLAUDE.md on main; #518 asks to cut over-specified rules, so adding one conflicts
twistedmelonman/claude-config	475	Protocol 4 hook-log check uses a relative --git-dir and can read another repo's last-review-result.log	claude-md-instructions	LAND	P1	S	none	none	Still wrong on main: CLAUDE.md:151, docs/CHECKLISTS.md:25, docs/INFRASTRUCTURE.md:179 all use `$(git rev-parse --git-dir)`; fix is `git -C <repo> rev-parse --absolute-git-dir`
